id,file,source_file,group,habitat,season,func,element,quality_status,problem_flags,batch,qa_sheet,width,height,tags,ko,en,scientific_name,source_manifest,source_policy
bio_0001,data/species_codex/generated/pixel_art_assets/slices/bio_0001_dandelion.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0001_dandelion.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,200,209,"flower,meadow,spring,seed,sun",민들레,Dandelion,Taraxacum officinale,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0002,data/species_codex/generated/pixel_art_assets/slices/bio_0002_white_clover.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0002_white_clover.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,183,196,"flower,meadow,spring,seed,sun",토끼풀,White clover,Trifolium repens,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0003,data/species_codex/generated/pixel_art_assets/slices/bio_0003_common_sunflower.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0003_common_sunflower.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,183,216,"flower,meadow,spring,seed,sun",해바라기,Common sunflower,Helianthus annuus,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0004,data/species_codex/generated/pixel_art_assets/slices/bio_0004_bigleaf_hydrangea.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0004_bigleaf_hydrangea.png,tree,forest,autumn,collection,earth,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,203,200,"tree,forest,autumn,collection,earth",수국,Bigleaf hydrangea,Hydrangea macrophylla,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0005,data/species_codex/generated/pixel_art_assets/slices/bio_0005_japanese_maple.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0005_japanese_maple.png,tree,forest,autumn,collection,wind,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,188,216,"tree,forest,autumn,collection,wind",단풍나무,Japanese maple,Acer palmatum,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0006,data/species_codex/generated/pixel_art_assets/slices/bio_0006_sawtooth_oak.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0006_sawtooth_oak.png,tree,forest,autumn,seed,earth,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,180,204,"tree,forest,autumn,seed,earth",상수리나무,Sawtooth oak,Quercus acutissima,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0007,data/species_codex/generated/pixel_art_assets/slices/bio_0007_common_reed.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0007_common_reed.png,grass,wetland,autumn,shelter,water,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,170,213,"grass,wetland,autumn,shelter,water",갈대,Common reed,Phragmites australis,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0008,data/species_codex/generated/pixel_art_assets/slices/bio_0008_western_honey_bee.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0008_western_honey_bee.png,insect,sunny,summer,pollinate,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,193,189,"insect,sunny,summer,pollinate,sun",양봉꿀벌,Western honey bee,Apis mellifera,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0009,data/species_codex/generated/pixel_art_assets/slices/bio_0009_small_white.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0009_small_white.png,insect,meadow,spring,pollinate,wind,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,202,159,"insect,meadow,spring,pollinate,wind",배추흰나비,Small white,Pieris rapae,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0010,data/species_codex/generated/pixel_art_assets/slices/bio_0010_red_wiggler.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0010_red_wiggler.png,fungus,soil,autumn,decompose,moon,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,202,159,"fungus,soil,autumn,decompose,moon",줄지렁이,Red wiggler,Eisenia fetida,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
