id,file,quality_status,problem_flags,width,height,qa_sheet
bio_0001,data/species_codex/generated/pixel_art_assets/slices/bio_0001_dandelion.png,pass,,200,209,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0002,data/species_codex/generated/pixel_art_assets/slices/bio_0002_white_clover.png,pass,,183,196,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0003,data/species_codex/generated/pixel_art_assets/slices/bio_0003_common_sunflower.png,pass,,183,216,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0004,data/species_codex/generated/pixel_art_assets/slices/bio_0004_bigleaf_hydrangea.png,pass,,203,200,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0005,data/species_codex/generated/pixel_art_assets/slices/bio_0005_japanese_maple.png,pass,,188,216,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0006,data/species_codex/generated/pixel_art_assets/slices/bio_0006_sawtooth_oak.png,pass,,180,204,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0007,data/species_codex/generated/pixel_art_assets/slices/bio_0007_common_reed.png,pass,,170,213,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0008,data/species_codex/generated/pixel_art_assets/slices/bio_0008_western_honey_bee.png,pass,,193,189,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0009,data/species_codex/generated/pixel_art_assets/slices/bio_0009_small_white.png,pass,,202,159,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0010,data/species_codex/generated/pixel_art_assets/slices/bio_0010_red_wiggler.png,pass,,202,159,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0011,data/species_codex/generated/pixel_art_assets/slices/bio_0011_common_yarrow.png,pass,,192,204,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0012,data/species_codex/generated/pixel_art_assets/slices/bio_0012_red_clover.png,pass,,189,201,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0013,data/species_codex/generated/pixel_art_assets/slices/bio_0013_garlic_mustard.png,pass,,183,209,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0014,data/species_codex/generated/pixel_art_assets/slices/bio_0014_ground_ivy.png,pass,,196,191,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0015,data/species_codex/generated/pixel_art_assets/slices/bio_0015_wild_carrot.png,pass,,192,208,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0016,data/species_codex/generated/pixel_art_assets/slices/bio_0016_lesser_celandine.png,pass,,192,202,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0017,data/species_codex/generated/pixel_art_assets/slices/bio_0017_ribwort_plantain.png,pass,,197,203,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0018,data/species_codex/generated/pixel_art_assets/slices/bio_0018_common_selfheal.png,pass,,169,211,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0019,data/species_codex/generated/pixel_art_assets/slices/bio_0019_box_elder.png,pass,,222,208,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0020,data/species_codex/generated/pixel_art_assets/slices/bio_0020_great_mullein.png,pass,,177,226,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0021,data/species_codex/generated/pixel_art_assets/slices/bio_0021_common_ivy.png,pass,,201,215,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0022,data/species_codex/generated/pixel_art_assets/slices/bio_0327_cornflower.png,pass,,173,211,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_14.png
bio_0023,data/species_codex/generated/pixel_art_assets/slices/bio_0023_common_milkweed.png,pass,,204,225,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0024,data/species_codex/generated/pixel_art_assets/slices/bio_0024_red_deadnettle.png,pass,,194,210,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0025,data/species_codex/generated/pixel_art_assets/slices/bio_0025_chicory.png,pass,,198,215,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png
bio_0026,data/species_codex/generated/pixel_art_assets/slices/bio_0026_american_pokeweed.png,pass,,203,222,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png
